"","likedcount","replycount"
"1281",20590,25
"1282",16085,81
"1283",12370,22
"1284",8722,22
"1285",19573,448
"1286",10723,562
"1287",10669,106
"1288",8750,175
"1289",6794,38
"1290",77093,804
"1291",59377,1735
"1292",56883,2272
"1293",27388,442
"1294",27307,114
"1295",59595,1183
"1296",32983,456
"1297",28349,304
"1298",23725,373
"1299",11427,548
"1300",61473,555
"1301",22447,194
"1302",15962,177
"1303",12243,109
"1304",12016,98
"1305",167187,916
"1306",155579,716
"1307",90466,394
"1308",40168,128
"1309",28836,192
"1310",229940,1393
"1311",150358,658
"1312",68773,252
"1313",36122,401
"1314",18312,724
"1315",215433,6175
"1316",151501,3933
"1317",121994,5028
"1318",61881,1012
"1319",37382,421
"1320",206808,968
"1321",111563,1048
"1322",65101,279
"1323",48580,78
"1324",37963,232
"1325",18204,677
"1326",3767,45
"1327",2460,40
"1328",2311,107
"1329",1851,72
"1330",11240,158
"1331",8816,214
"1332",7377,126
"1333",3765,317
"1334",3247,26
"1335",20218,461
"1336",15599,91
"1337",8268,20
"1338",6239,782
"1339",4274,3
"1340",36269,725
"1341",26768,407
"1342",23270,201
"1343",19189,350
"1344",10132,63
"1345",17829,613
"1346",5806,92
"1347",5532,20
"1348",4335,91
"1349",3281,52
"1350",229825,1488
"1351",198851,4412
"1352",80536,945
"1353",51926,315
"1354",48058,447
"1355",781532,2939
"1356",478507,5809
"1357",364865,4192
"1358",247387,4755
"1359",196710,2006
"1360",49455,332
"1361",42674,217
"1362",31667,161
"1363",14960,218
"1364",11844,283
"1365",23385,1057
"1366",17921,101
"1367",17640,248
"1368",13478,257
"1369",10944,284
"1370",52922,857
"1371",23886,323
"1372",19635,256
"1373",12140,307
"1374",9167,112
"1375",39433,321
"1376",32571,1279
"1377",16804,74
"1378",12190,265
"1379",12103,113
"1380",16782,252
"1381",10405,206
"1382",6001,49
"1383",4566,36
"1384",4461,38
"1385",10057,140
"1386",7590,41
"1387",6476,46
"1388",3882,16
"1389",3520,15
"1390",54666,593
"1391",44398,379
"1392",33410,243
"1393",16904,599
"1394",14435,95
"1395",19148,250
"1396",17048,172
"1397",14803,635
"1398",9767,47
"1399",9453,76
"1400",16454,277
"1401",10312,174
"1402",7270,216
"1403",3223,55
"1404",3135,88
"1405",52048,351
"1407",33931,819
"1408",27209,206
"1409",16489,178
"1410",41563,862
"1411",16522,111
"1412",11571,624
"1413",9524,311
"1414",5486,951
"1415",47660,432
"1416",38611,243
"1417",21900,84
"1418",15870,231
"1419",13133,34
"1420",82039,2808
"1421",42730,706
"1422",30250,173
"1423",17772,127
"1424",17162,173
"1425",180582,1055
"1426",163175,2198
"1427",138144,933
"1428",78100,584
"1429",58879,321
"1430",35727,682
"1431",23500,405
"1432",14054,261
"1433",12843,1270
"1434",10374,11
"1435",90998,461
"1436",61674,183
"1437",41734,228
"1438",35316,254
"1439",31354,165
"1440",39838,255
"1441",24005,164
"1442",23706,226
"1443",16039,201
"1444",13477,51
"1445",94882,617
"1446",73635,626
"1447",59692,163
"1448",56438,537
"1449",40005,119
"1450",41061,608
"1451",27982,209
"1452",25533,183
"1453",12134,120
"1454",8359,98
"1455",50681,577
"1456",21952,601
"1457",16595,430
"1458",11505,133
"1459",11411,178
"1460",47940,1044
"1461",38797,283
"1462",21078,151
"1463",12260,271
"1464",10297,74
"1465",10664,62
"1466",8851,313
"1467",8629,303
"1468",4498,13
"1469",3952,205
"1470",46870,720
"1471",32764,337
"1472",19822,171
"1473",14620,61
"1474",8814,31
"1475",114556,2105
"1476",91210,1000
"1477",65080,378
"1478",38911,126
"1479",31106,96
"1480",59038,262
"1481",40143,249
"1482",24783,324
"1483",16267,110
"1484",15010,302
"1485",45741,458
"1486",43921,380
"1487",39236,315
"1488",21746,102
"1489",19588,169
"1490",10664,543
"1491",3799,16
"1492",2824,64
"1493",2480,48
"1495",5234,22
"1496",4750,43
"1497",2446,36
"1498",2248,85
"1499",1510,15
"1500",9513,347
"1501",8876,194
"1503",4520,155
"1504",4114,63
"1505",47363,747
"1506",38170,266
"1507",36983,450
"1508",15800,174
"1509",14557,34
"1510",86822,7274
"1511",57435,1058
"1512",27770,639
"1513",19126,122
"1514",18735,310
"1515",19182,123
"1516",6725,14
"1517",5948,6
"1518",5603,24
"1519",4976,24
"1520",19235,1066
"1521",9284,93
"1522",6123,47
"1523",4044,14
"1524",3696,58
"1525",40257,727
"1526",21286,378
"1527",19039,124
"1528",13439,113
"1529",12243,51
"1530",7303,164
"1531",6395,154
"1532",2574,8
"1533",2380,48
"1534",2021,24
"1535",67094,1588
"1536",15104,226
"1537",14456,103
"1538",11770,183
"1539",10813,73
"1540",75981,1609
"1541",55949,916
"1542",25946,141
"1543",20082,134
"1544",18535,107
"1545",305939,18669
"1546",180446,831
"1547",126905,510
"1548",70426,204
"1549",59636,114
"1550",195373,3183
"1551",95591,11204
"1552",79652,821
"1553",64522,2702
"1554",60981,264
"1555",117865,2203
"1556",67721,1308
"1557",22408,568
"1558",18308,72
"1559",16732,249
"1560",177173,1615
"1561",103026,717
"1562",98218,931
"1563",47528,572
"1564",36438,97
"1565",29950,1317
"1566",10651,76
"1567",5983,48
"1568",5660,42
"1569",4080,183
"1570",43105,408
"1571",32515,804
"1572",21230,155
"1573",18197,182
"1574",15803,294
"1575",70968,1863
"1576",45502,813
"1577",31314,757
"1578",15318,216
"1579",14336,177
"1580",79895,933
"1581",55255,574
"1582",50028,245
"1583",38064,257
"1584",22630,139
"1585",16532,208
"1586",7547,66
"1587",7527,54
"1588",4605,52
"1589",4103,70
"1590",56968,2558
"1591",55064,1912
"1592",48153,1836
"1593",34764,656
"1594",23752,643
"1595",24271,1676
"1596",19035,98
"1597",5843,30
"1598",5261,57
"1599",3668,20
"1600",225786,1149
"1601",151650,390
"1602",137611,1199
"1603",90468,228
"1604",81585,364
"1605",64394,316
"1606",56384,593
"1607",56126,1058
"1608",26779,175
"1609",26095,63
"1610",55859,528
"1611",31368,366
"1612",26376,451
"1613",22098,83
"1614",17530,114
"1615",35049,777
"1616",21915,146
"1617",14159,192
"1618",10097,112
"1619",7162,104
"1620",22151,104
"1621",19711,183
"1622",11133,176
"1623",8357,66
"1624",4071,4
"1625",36394,114
"1626",28128,1006
"1627",24139,42
"1628",20201,33
"1629",19251,48
"1630",10121,195
"1631",7399,186
"1632",6404,26
"1633",5390,166
"1634",3840,180
"1635",185584,1465
"1636",115485,1531
"1637",90414,381
"1638",67187,443
"1639",39314,299
"1640",44529,444
"1641",33004,139
"1642",31681,131
"1643",17219,259
"1644",16380,67
"1645",38467,507
"1646",35367,410
"1647",24468,278
"1648",16544,186
"1649",10318,152
"1650",48514,1118
"1651",32394,108
