,userid,commentid,username,content,timeStr,likedcount,hug,replycount
10,362267072,3404572764,1choice茶,喜欢你轻轻皱眉，叫我扮小乌龟[吐舌],2020/8/3,1,FALSE,0
11,1479535438,3404550676,Kiki_p9,醒来第一件事先解开脖子上的耳机,2020/8/3,3,FALSE,0
12,2032632058,3403320034,LUCK白泽,你的出现真的让我很心动,2020/8/3,4,FALSE,0
13,1770205817,3403257114,原野由纪,小朋友收起烦恼，挂起月亮，睡个好觉,2020/8/3,5,FALSE,0
14,423594235,3402512617,刘小诗诗,好甜甜甜!!!喜欢看你轻轻皱眉~,2020/8/2,3,FALSE,1
0,1826288185,5905300214,又话巴山夜雨,我后来爱的人真的都莫名像你[心碎],昨天12:30,0,FALSE,0
1,3696091449,5905013647,七七_wv,找个男朋友一起听歌呀！,2天前,1,FALSE,0
2,1663674128,5904049659,亿伤1811,驻马店西，以前的时候有人接。现在成了不愿提及的过往。,4天前,0,FALSE,0
3,1479051737,5903698933,老样不emo,我以为很快就能见面，所以那天没有好好道别,4天前,0,FALSE,0
4,1505584371,5903233783,寻世间风月,他说对不起有让你误会的地方可是明明那个时候我们很暧昧,5天前,0,FALSE,0
5,1326199002,5903194269,李大爷爱听DJ-民谣69,后来我决定不再纠结一些事情了，那些日思夜想的人和没有答案的问题，突然就释怀了。非常喜欢这样一句话，“我用执着烧死了所有的幼稚和任性，那片荒野慢慢长出了冷漠，理智和清醒”,5天前,0,FALSE,0
6,1591727188,5901666888,_洋洋o,爱马市,5月5日,1,FALSE,0
7,3682027670,5901155589,坤驸马,听着民谣感觉看透了自己的人生,5月4日,0,FALSE,0
8,1529930740,5901151417,米_龙,驻马店出租车真黑[多多大哭],5月4日,0,FALSE,1
9,504706247,5901049562,鹤一_lIAV,妳喜歡聽的歌，我現在聽懂了，韓小姐,5月4日,0,FALSE,0
10,1376937268,5899016321,落差祗,总有一天漫漫长夜有人陪你说话晚灯不灭有人等你回家.,4月30日,5,FALSE,0
11,1673284593,5898855891,小子你好靓啊,2019-4-30安河桥北?2023-4-30驻马店西?,4月30日,2,FALSE,0
12,3417686692,5898471874,趙银广_efVA,爱了爱了,4月29日,0,FALSE,0
13,320912213,5898445503,一根猪zjk,回驻马店的高铁上听驻马店西太棒了这感觉,4月29日,0,FALSE,0
14,8046844382,5898401041,花辞汐,初恋驻马店的哈哈，驿城区,4月29日,3,FALSE,0
0,3696091449,5905628425,七七_wv,找个男朋友一起听歌呀！,0:12,1,FALSE,0
