,userid,commentid,username,content,timeStr,likedcount,replycount
4,1420500388,1686009329,阿文的银河系,从想见你来的听到这首歌的时候，也像陈韵如一样忍不住跟着哼唱，只是抬起头来没有李子维在我面前所以我也想暂时把你的眼睛闭起来，把你化进我的胸怀[爱心]加油啊哥哥，以后也要继续发光[爱心][爱心],2019/11/20,73836,209
0,454633214,3124985812,我的上铺住着愚蠢的女汉子,我也常常向世界对抗，关于朋友，关于家人，关于其他。大家口中的成年人的世故也好，人之常态也罢，少了几分能力去接受。找个角落躲起来，去想去思考去悲伤，只是因为有些事情自己才会懂吧。,2020/1/22,77271,423
1,2139188002,3162694291,小雨小姐姐的雨伞,“找对象就要找那种看不上你的你就可劲儿追一但他回头你就是他的命.”---小王,2020/2/20,77182,1506
2,557702274,3162590751,解几何,希望所有烦恼都离王维家先生远一点,2020/2/20,49793,465
3,396444878,3162652457,星星袋子,一直在想小王日记是什么样子，以为可能是小王自己的内心独白，没想到是倾尽所有的温暖。,2020/2/20,43016,239
4,1356180086,3162646085,感受生活的旅行家,最初他以歌曲记录生活，后来他走上舞台，把自己的生活唱给听众，安慰了茫茫人海无数心灵。现在听他的歌成了我们的生活，而他也继续唱着自己的故事。毛不易只要你唱，我们就一直听。,2020/2/20,30669,85
0,392064378,3215283141,一颗大草莓呐,神树是末日审判降临是神的庇佑,2020/3/20,51040,355
1,1493960061,3215232762,夏遇yu,“降临与神树，一个鸿蒙之初，一个末日之后，互为阴阳，毁灭后的重生，重生后的更迭，就像一对双生子一般，循环往复，生生不息。”,2020/3/20,39848,206
2,352942291,3215267433,帐号已注销,毁灭孕育重生［神树］明明有着星系陨落般的荒芜感却澎湃着向死而生的希望［降临］既有辰曦携带万顷福祉自天角倾泻的圣洁肃穆又有裹挟罪与罚的禁忌感，想到宫廷礼乐又想到唱诗班该怎么形容这种惊艳的宇宙感呢？当一个人思想格局和实力都光速成长的时候，他的创作简直像四维空间在三维世界的投影,2020/3/20,28006,232
3,1941998913,3215267440,杨小艳hhh,《神树》《降临》阴阳双生！我觉得超好听,2020/3/20,22127,119
4,1992098475,3215255620,Witshadow,以生命之始，奏圣洁之乐。以世间之爱，重塑新生，重宥痛错。“laviahviahvi”古老的歌谣，悠悠飘远，穿过密林，迎着朝阳，缓缓盛沐这片大地上每一个生命，予以祈佑。,2020/3/20,18130,58
0,311296272,3228179807,08042號星星,Sayit'sanewworld沉醉这风光讲究，明暗是假象告别这星光黯淡，来去是假象坐拥这掌声散去，起落是假象笑对这冷眼观望，天地是假象,2020/3/27,41422,898
1,507637016,3228163966,我的周周不是粥qvq,大哥吐字清晰：沉醉这风光讲究明暗是假象告别这星光黯淡来去是假象坐拥这掌声散去起落是假象笑对这冷眼观望天地是假象我：%@$*:-)#是假象(卑微),2020/3/27,40528,1158
2,2046603241,3228139342,LUCAP0G,华晨宇《新世界》歌词亦人生。沉醉风光讲究，告别星光黯淡；坐拥掌声散去，笑对冷眼观望。开场有多喧闹，结尾就有多寂寥，?不如下山，笑看万物是假象。转身矗立山峰的时候，即是新世界到来。ET开启疯狂打榜的技能吧！！！快来为《歌手·当打之年》最爱的歌助力《歌手·当打之年》线上投,2020/3/27,23511,216
3,1409693939,3228153161,挣脱宇宙厄日的热寂,毁灭（《神树》）后重生（《降临》）进入新世界（《新世界》）@华晨宇yu?bro厉害,2020/3/27,19054,223
4,1435160875,3228105719,镀上,“站上舞台、手握话筒的那一刻，他就成为了主宰音乐世界的王者，仿佛不止音乐，连现场的灯光也都一起掌控。”-欢迎来到华晨宇创造的新世界-@华晨宇yu,2020/3/27,18404,134
0,108642126,722430195,奇然Iiya,听说来这首歌每日打卡的人，都能得到幸福?[爱心],2018/3/1,204055,3650
1,353208188,658878353,银杏树下的寒墨忘清eve,虽然歌词还是一样的，不同于原版，原版真的给人空荡荡的感觉，是没有相遇之前，这个版本的却感觉就算一脚踏空也有彼此依靠，是相遇之后。不知道是不是我的错觉，总觉得散发出了一种恋爱的酸臭味，但是都很好听！高举我丞飞大旗！丞哥我是你的小迷妹啊啊！希望我们都能像对方一样勇敢！,2018/1/2,191039,2866
2,364083212,658871684,粉涩小王子,不是昂……你们知道我一个男的把撒野全看完了是什么感觉嘛？！[生病][生病],2018/1/2,139831,5528
3,303572751,658911899,故人從此不在,“我有句话还是想正式说一下，虽然我好像已经说过一次了。”“我很喜欢你，”顾飞说，“我会一直喜欢到你不再需要我喜欢你为止。”,2018/1/2,90678,335
4,388234459,658862962,温故知心wz,“我不喜欢那个小破城市，也看不上钢厂那个破地方的人，”蒋丞说，“但我还是很舍不得那里，那个城市，那个钢厂，因为我在那儿把你挑出来了。”,2018/1/2,89538,200
0,95076,275978475,简弘亦,这个时候肯定都睡了没人给我点赞了，那么我来了，大家好，我是简弘亦，你们是我的男朋友和女朋友[奸笑],2016/12/30,263321,570
1,95076,275049695,简弘亦,给我发过私信要求唱这首歌的男朋友和女朋友快来认领一下，高冷的我已经满足了你的愿望[圣诞],2016/12/28,190329,239
2,315484569,323141039,舆眾生為悪,分手后第二年，我依然单身，她发来一条信息：你看过，抚摸过我身体的每一寸肌肤，确唯独看不到我穿婚纱的样子。那一个晚上我抱着手机，看着那条信息，整整抽了一包的烟，最后回复了一句：一定要过得比我好，只是不要再让我知道了。,2017/3/5,112830,500
3,338620089,285054706,未休止,我对你的感觉大概就是?就算我们很久不说话不聊天?或者哪天直接就没了任何联系?我还是会觉得你是我非常非常重要的人,2017/1/11,78524,200
4,392615859,296670770,窜天猴儿x,人这辈子最怕突然听懂一些歌词,2017/1/28,60298,92
0,1368460273,1167763793,晗晗呀毛毛,我的妈妈她有点世俗，有点贪小便宜，有点做作，甚至有时候有点虚假，但她却努力教我所有美好的品质，她想我成为好的人，一切的不堪她都一个人承受，只是因为我是她的女儿。,2018/7/3,150838,1045
1,1356195628,1167702794,说故事的未成年,你传的照片，是我离家时的床铺你说好久了，屋子都没人住我总有办法打断你的叮嘱多数是不耐烦，少数是想哭我总说自己要减轻你的辛苦要自己去闯自己的路以为自己足够光彩夺目却被你一眼看穿艰辛苦楚传说上帝无法亲力亲为所有守护派仙女下凡，做人间的公主从此，一切美好，在柴米油盐中驻足,2018/7/3,118503,835
2,268228555,1167700738,__何妨__,海味山珍比不过一荤一素油盐酱醋是她细密的叮嘱她用双手编织你远行的路然后笑着送别，站成一棵树她知道你受万人瞩目也知道你多辛苦好好睡吧，让她亲亲你渗出的泪珠别不开心，她喜欢你嘴角上扬的弧度,2018/7/3,61855,272
3,559332138,1274999060,agatha921,毛不易真是一个哲学家，《奇遇人生》里面说了好多经典语录：1.四十岁就是新的二十岁2.内向不是性格的缺陷只是性格的一种3.人的本质不是喜欢钱，而是钱予人的自由4.不想说的话我可以不说，但是我尽量保证说出的话都是真的5.快乐是赏赐，悲伤是考验，不快乐也不悲伤，是生活的常态???,2018/10/17,48328,496
4,599900028,1167764226,睫毛不易,我慢慢地、慢慢地了解到，所谓父女母子一场，只不过意味着，你和他的缘分就是今生今世不断地在目送他的背影渐行渐远。你站在小路的这一端，看着他逐渐消失在小路转弯的地方，而且，他用背影默默告诉你：不必追。——龙应台目送,2018/7/3,42334,487
0,1720189696,3281299364,浮元子_Dyw,上一秒还在似孩童般唱着儿歌的他，下一秒就可以暴躁地尖叫“shutup”上一秒还沉浸在佛经诵读的氛围中，下一秒就可以充斥着“任我主宰”的气势华晨宇曾说过一句话：“当我的音乐能够影响到你，能引起你的思考，这就是艺术。”“我带着那抹红，见证我所有的光辉时分”“为家人而战”华晨宇我们一直在,2020/4/24,48323,619
1,405527437,3281343939,歇菜的比,钢琴伴奏加了黑胶唱片的效果器，带有孩子气的唱腔营造诡异恐怖氛围，木吉他Riff随后插入，还运用了古筝、套鼓，用人声模仿埙的音色搭配六字箴言（绝对的神来之笔）Bass和军鼓到后面戛然而止，随木吉他着独奏仿佛进入无尽的深渊迷失又绝望；军鼓伴随华晨宇撕裂怒吼和电吉他回收音效仿佛七重人格涅槃重生,2020/4/24,36467,448
2,295575185,3281345927,山霁无岚_,七皇的破立太极致了。诡谲粗砺的失真童声、克制隐忍的吉他riff、委婉曲折的过渡古筝、天然质朴的人声拟埙、恣意张狂的躁动鼓点、喑哑颓丧的殉道念白、激进疯癫的宣泄嘶吼……说是七重人格，每个歌迷的理解也全然不同，我想大概跟小华是个绝妙的情绪容器分不开吧_(:з」∠)_。,2020/4/24,26248,181
3,126831252,3281296496,小mili,我认为这首歌确实全场最佳(不是粉),2020/4/24,21170,680
4,528334092,3281319105,_记忆是座荒岛,郑楠：花花我们要不要改一下旋律，做一点简单的，大众都朗朗上口的音乐？华晨宇：SHUTUP！！！,2020/4/24,20230,399
0,594104133,3459035009,KeyL1n,这份爱会不会会不会让你也好疲惫,2020/9/22,344708,2624
1,481214790,3461938157,刘大壮Super,希望大家都能被爱的人温柔以待,2020/9/26,291190,2928
2,486274527,3459070261,ZzHpf,“梦里出现的人，到底是谁在想谁”,2020/9/22,128659,1789
3,3320445721,3459046935,Heyd2077,仔细想一想我长得不出众不高不阳光学习不好脏话连篇多疑敏感喜怒无常怎么可能会有人无条件站在我这边,2020/9/22,80616,1299
4,3236936668,3463977920,愿思安,补课费好贵题目好难压力好大我想睡觉我想休息可我更想考上好学校,2020/9/28,48060,986
0,1525138606,3442264435,在天堂中死去,昨天去见前任了他盖着白布好像不想见我,2020/9/2,338182,5647
1,90467349,3410493733,h3R3,rap部分是我，副歌部分是高旭，歌词里为了美观没有标注，看大家都分不清，稍后会标注上,2020/8/8,190413,1630
2,374774746,3322958927,鸽子衫__,因为你错过了，别人才会遇见，因为别人错过了，你才会得到。,2020/5/25,176756,1682
3,487142125,3450120934,果粒橙喜欢喝橙汁,果然男人只有在土里才会安分吗,2020/9/11,57172,1041
4,1786571481,3440354525,得星星,昨天和喜欢的男孩子亲嘴了,2020/8/31,46093,1427
0,1834250242,3272865036,我真没前任,一起吹过晚风的人大概会记得久一些,2020/4/19,289351,2413
1,1700001791,3272281729,CCCCCCCCopy,当初你也是那个习惯把太阳画在纸的角上的小屁孩吧,2020/4/19,257326,1948
2,261750277,3272370916,薇迹,我们结婚吧我搬到你家你给我买个小点的戒指吧我不要车不要房不要彩礼结婚证也很便宜我是真的很想嫁给你,2020/4/19,202233,4486
3,346008082,5215325582,BTo777,冲10w+再发一首超级好听的歌[憨笑],2021/1/23,133744,2045
4,346008082,3445763032,BTo777,人如果没有梦想，那跟咸鱼有什么区别啊？,2020/9/6,117885,1691
0,536871464,5207880740,002day,“丘比特为什么蒙着眼?”“因为爱情无关性别”,2021/1/14,152786,1331
1,2128203854,5247774318,帐号已注销,今天被暗恋的男孩摸脸颊了！你们能体会那种仿佛要瞬间螺旋升天的喜悦吗!因为今天和他一起去参加同学的生日party，站在角落看着他，注意到我后直接跑来糊我的脸。丝滑的奶油和他的双手抹在我脸上，大脑瞬间死机。一个1米5的小女生就这么被一个1米7的男孩子弯下腰来摸到了脸。快要幸福死啦,2021/2/22,101857,3293
2,1579669573,5267054223,谢谢我真的不饿,她模仿我穿衣风格模仿我写字字体模仿我的性格模仿我的一切但是她模仿不了我一顿八碗饭,2021/3/20,77392,1240
