,key,value
662,不受,7
663,控制,32
664,难过,400
665,麻木,10
666,躯体,6
667,不行,149
668,眼泪,235
669,眼睛,257
670,跑出来,1
671,心脏,53
672,病态,9
673,好说,10
674,许嵩,5
675,合唱,64
676,一首,527
677,破学,1
678,辣色,24
679,上头,150
680,再来,60
681,骂听,1
682,惨,47
683,说好,94
684,食言,24
685,看不见,287
686,余光,14
687,千万边,1
688,loser,1
689,走过来,5
690,擦肩而过,45
691,主动,190
692,左边,5
693,会不会,276
694,近,138
695,每天,294
696,担心,58
697,比起,43
698,正脸,2
699,熟悉,137
700,侧脸,7
701,背影,43
702,好运,23
703,见面,471
704,地方,130
705,学校,260
706,前奏,332
707,爱上,147
708,每一次,29
709,回头,156
710,一节,7
711,体育,123
712,课,55
713,睡,517
714,马路,4
715,交警,4
716,初中,130
717,黄毛,68
718,高中,259
719,rapper,144
720,大学,285
721,生,191
722,爱听雪,1
723,头,126
724,显得,36
725,作者,77
726,下头,13
727,泰库辣,53
728,骗,183
729,皎白,260
730,解答,9
731,fallin4u旋律,3
732,惶恐,266
733,对象,145
734,顺其自然可,1
735,顺其自然,24
736,里面,119
737,不甘有我的不舍,1
738,无奈,19
739,春天,185
740,初识,5
741,拘谨,5
742,她说,98
743,恨,150
744,回头又说,1
745,回来,310
746,毫不犹豫,16
747,选,78
748,明星,10
749,可惜我相貌平平,1
750,最佳,30
751,人选,3
752,选择,231
753,沉默,84
754,何必,47
755,强求,17
756,那种,145
757,看清,37
758,次,62
759,无动于衷,6
760,累,199
761,不好,265
762,不改,6
763,方式,136
764,玩意儿,42
765,感悟,4
766,大拇哥,10
767,来过,12
768,低人一等,16
769,毕竟,95
770,新,290
771,踩,53
772,一脚,22
773,再走,6
774,深圳市正德高级中学,1
775,高一,19
776,一班,1
777,李尚博,1
778,导,3
779,蛇,8
780,怕,395
781,妈妈,86
782,中考,237
783,顺利,290
784,吐字,123
785,黏糊,3
786,虚,22
787,容易,50
788,干嘛,150
789,下面,38
790,人生,198
791,浅薄,3
792,无意,11
793,开,430
794,清,304
795,dinner,12
796,束缚,39
797,无气无力,1
798,流星,105
799,坠落,105
800,地面,114
801,吸血鬼,4
802,bloodblood,1
803,blood,1
804,,486
805,没关系,169
806,数不过来,1
807,哥们儿,27
808,卡,153
809,拖鞋,14
810,早点,114
811,医院,14
812,疯,14
813,两个,163
814,驼峰,120
815,供水,8
816,多多大,198
817,笑,331
818,啧,27
819,分开,242
820,想过,53
821,沈阳,106
822,欣赏,143
823,能力,42
824,布置,1
825,天真,18
826,心尖,5
827,脑瘤,4
828,诶心碎心碎,1
829,流感,177
830,痛苦,230
831,重要,163
832,人人,49
833,高喊,5
834,穿衣,5
835,抓,67
836,重蹈,1
837,蔡徐坤,18
838,覆辙,1
839,开盘,4
840,后面,138
841,10五,1
842,年级,7
843,男,136
844,神作,5
845,偷偷,150
846,捂脸,116
847,下次,264
848,舌头,109
849,捋,51
850,直,73
851,六月,19
852,心情不好,23
853,那年,52
854,佩服,7
855,00后领头军,1
856,来日方长,4
857,未来,151
858,大把,3
859,时间,543
860,相处,16
861,轻纵,1
862,时光,56
863,当你,84
864,面临,2
865,生命,70
866,倒数,11
867,计时,1
868,悔恨,2
869,总为时已晚,1
870,情歌,42
871,diss,13
872,现场,295
873,表演,116
874,la了,1
875,慕名而来,31
876,不爱,152
877,刷,214
878,十次,4
879,唱腔,53
880,黏,46
881,腻,60
882,Becoming,1
883,your,3
884,heart,3
885,送,351
886,一张,161
887,会员,192
888,礼品卡,49
889,快,927
890,TA,98
891,祝福,188
892,领取,86
