,userid,commentid,username,content,timeStr,likedcount,ip,time,ishug,replycount
4,284501036,212260184,o但愿人长久o,我真不知怎么才能和你亲近起来，你好像是一个可望而不可及的目标，我琢磨不透，追也追不上，就坐下哭了起来。 你要是喜欢别人我会哭，但是还是喜欢你。——王小波《爱你就像爱生命》,2016/9/9,26665,,1.47343E+12,FALSE,20
0,55637737,13705725,建筑发明师,二十岁的某一天，我花了80块坐24个小时的硬座到北京去找她。我走的那个晚上，晚上，她要吃火锅，我低着头不说话。我开不了口，就说我喜欢吃拉面，就身上仅有的十块钱，买了两碗兰州牛肉面。走的时候，她取了300快塞到我兜里。后来，她去了美国。三十岁的某一天，已经6年没见，我再也想不起她的脸……,2015/3/28,194844,,1.42753E+12,FALSE,1857
1,6777486,23674886,小麦fuuuuuuck,手机里存了那么多分手的歌，好像我爱过似的。,2015/6/26,102165,,1.43525E+12,FALSE,390
2,1725057632,1429367415,笑我请当场_,还没跟她相恋前，我给她听了这首歌，我就对她说过我20岁一定会陪我女朋友度过这一天，也要跟她吃碗牛肉面，后来她成了我女朋友，再到后来20岁那天  各种原因还是没有完成当初那承诺，我很愧疚，这2年的发生的事情我做错了太多，到现在我失去你了，对不起 兰莉， 30岁...80岁.....我还是会记得你的脸。,2019/3/24,61421,,1.5534E+12,FALSE,91
3,1278497,55098698,Utopia子虚,看评论知道全国大概的物价水平了，武汉热汗面一碗4块，兰州牛肉面5块一碗，西安肉夹馍5块，长沙米粉5块.......,2015/12/20,53898,,1.4506E+12,FALSE,648
4,37275478,5043641,走开别烦我,二十岁的某一天，你告诉我以后不要被别人骗。那一刻我觉得你是个好人。你一定也说过假话，但心智未熟的少女总相信世上还是好人多，盲目轻信一刹的甜言，认识你之后好似变了不少，但我再也没办法从容淡定的和你熟络起来。,2014/10/21,28203,,1.41382E+12,FALSE,31
0,33688161,6867008,幸子的幸是幸福的幸,其实李代沫唱歌真好听,2014/12/9,74412,,1.41808E+12,FALSE,1017
1,149111,13263018,tang_n,心这个东西.如果先伤了别人的  总有一天会加倍伤回来的..放心  谁也跑不了    ,2015/3/23,49010,,1.42704E+12,FALSE,708
2,29461403,138020501,深安罗,某年三十晚的k1366上 列车经过某个不停靠的小镇 5个列车员2个乘警围坐在只有我的车厢 问我，小伙子要不要一块吃饺子  那时耳机放的正是这首歌,2016/4/5,34635,,1.45982E+12,FALSE,276
3,84426530,144341399,背着吉他的DB酱,听了范玮琪的到不了，总觉得还有希望。听了李代沫的版本，我真的决定放弃了。,2016/4/21,27598,,1.46122E+12,FALSE,151
4,397337857,338838204,依恋i5,刘翔是唯一一个在直线跑道上真正打败黑人的运动员，甚至创造了连白人都没做到的记录。刘翔参加了48次世界大赛，36次冠军，6次亚军，3次季军，然而有些人却只记得他退赛2次,2017/3/25,27019,,1.49043E+12,FALSE,257
0,1759564,40959185,大小鬼,虽然被那么多人黑，不过平心而论，歌唱得很好~,2015/10/15,77998,,1.4449E+12,FALSE,132
